category_0,category_1,category_2,price,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22
cat_502,cat_331,cat_9,290.96800324017823,1,2018-07-23 06:33:25.000000,2018-07-23 06:03:52.000000,1,0,1,0,574.72,359.2,898.0,17.0,5.0,8.0,17.0,8.0,8.0,0.0,1.0,0.0
cat_804,cat_331,cat_16,240.58323207776428,1,2018-06-29 23:14:26.000000,2018-06-29 22:54:57.000000,1,0,2,0,363.0,297.0,495.0,4.0,5.0,14.0,5.0,8.0,12.0,0.0,0.0,0.0
cat_804,cat_3,cat_16,134.47549615228837,1,2018-03-10 03:30:52.000000,2018-04-11 13:26:47.000000,2,0,2,0,166.01,166.01,166.01,4.0,2.0,14.0,5.0,3.0,12.0,0.0,0.0,0.0
cat_804,cat_59,cat_16,238.36371000405026,1,2018-06-29 23:15:12.000000,2018-06-29 22:54:57.000000,1,0,1,0,294.26,294.26,294.26,4.0,16.0,14.0,5.0,34.0,12.0,0.0,0.0,0.0
cat_871,cat_322,cat_19,1049.0076954232484,1,2018-02-08 06:07:13.000000,2018-02-08 06:03:32.000000,0,0,1,0,519.24,339.8,1295.0,10.0,50.0,33.0,31.0,74.0,73.0,0.0,0.0,1.0
cat_322,cat_400,cat_20,95.26123936816522,1,2017-07-04 17:40:10.000000,2017-07-04 17:40:10.000000,1,0,2,0,98.66,50.39,170.17,1.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0
cat_91,cat_331,cat_46,160.3888213851762,1,2017-12-30 01:16:05.000000,2018-01-06 18:22:52.000000,2,0,2,0,231.0,198.0,297.0,2.0,10.0,2.0,4.0,7.0,6.0,0.0,0.0,0.0
cat_742,cat_283,cat_7,190.36046982584045,1,2018-07-05 14:28:41.000000,2018-07-05 22:02:50.000000,0,0,3,0,234.13,222.69,237.02,24.0,0.0,4.0,23.0,9.0,9.0,0.0,0.0,0.0
cat_203,cat_331,cat_43,214.661806399352,1,2018-08-12 18:56:08.000000,2018-08-12 19:33:00.000000,2,0,2,0,265.0,265.0,265.0,5.0,14.0,12.0,3.0,29.0,14.0,0.0,0.0,0.0
cat_457,cat_322,cat_10,214.661806399352,1,2018-03-14 11:50:35.000000,2018-06-16 14:46:52.000000,0,0,2,0,224.86,132.02,285.0,2.0,1.0,75.0,14.0,17.0,147.0,0.0,0.0,0.0
cat_570,cat_330,cat_23,113.40623734305387,1,2017-11-03 17:01:19.000000,2018-01-16 15:00:52.000000,4,0,16,0,141.17,105.0,179.97,65.0,3.0,24.0,73.0,21.0,52.0,0.0,1.0,0.0
cat_570,cat_454,cat_19,76.95423248278655,1,2018-03-21 18:20:36.000000,2018-03-21 17:52:10.000000,1,0,1,0,237.57,66.5,295.0,65.0,1.0,15.0,73.0,3.0,46.0,0.0,1.0,0.0
cat_180,cat_325,cat_16,546.7800729040098,1,2017-09-18 18:07:24.000000,2017-09-18 18:06:09.000000,0,0,1,0,675.61,675.0,725.0,1.0,0.0,12.0,5.0,1.0,28.0,0.0,0.0,0.0
